"BIZ_UNIT","PD_S_C","PD_S_NM","PD_M_NM","PD_H_NM","cnt.x","cnt.y","percent"
"A02",1623,"다리미","주방가전","가정",1,13538,7.39e-05
"A02",1621,"믹서기","주방가전","가정",2,13538,0.000147732
"A02",1624,"이미용기","주방가전","가정",4,13538,0.000295465
"A02",1622,"토스터기","주방가전","가정",1,13538,7.39e-05
"A02",1626,"건강가전","시즌/건강가전","가정",2,13538,0.000147732
"A02",1625,"전기요/장판","시즌/건강가전","가정",32,13538,0.002363717
"A02",101,"전기요","전기요/장판","가정",4,13538,0.000295465
"A02",1492,"로만쉐이드","커튼류","가정",1,13538,7.39e-05
"A02",1493,"롤스크린","커튼류","가정",54,13538,0.003988772
"A02",1491,"커튼","커튼류","가정",86,13538,0.006352489
"A02",552,"커튼소품","커튼류","가정",142,13538,0.010488994
"A02",553,"담요","수예시즌","가정",80,13538,0.005909292
"A02",1496,"모기장","수예시즌","가정",51,13538,0.003767174
"A02",554,"시즌침구","수예시즌","가정",65,13538,0.0048013
"A02",1495,"여름자리","수예시즌","가정",53,13538,0.003914906
"A02",555,"온라인수예시즌","수예시즌","가정",1,13538,7.39e-05
"A02",556,"이벤트수예","수예시즌","가정",2,13538,0.000147732
"A02",1494,"카페트","수예시즌","가정",56,13538,0.004136505
"A02",1497,"황토침구","수예시즌","가정",51,13538,0.003767174
"A02",545,"기능성충전재","수예소품","가정",116,13538,0.008568474
"A02",1490,"방석","수예소품","가정",217,13538,0.016028956
"A02",546,"소품베개","수예소품","가정",108,13538,0.007977545
"A02",547,"솜","수예소품","가정",118,13538,0.008716206
"A02",548,"수납수예","수예소품","가정",13,13538,0.00096026
"A02",549,"수예커버","수예소품","가정",59,13538,0.004358103
"A02",550,"앞치마/장갑","수예소품","가정",91,13538,0.00672182
"A02",1571,"온라인 수예소품","수예소품","가정",2,13538,0.000147732
"A02",551,"우모충전재","수예소품","가정",26,13538,0.00192052
"A02",1489,"쿠션","수예소품","가정",198,13538,0.014625499
"A02",688,"프리미엄다용도매트","프리미엄매트","가정",7,13538,0.000517063
"A02",689,"프리미엄싱크매트","프리미엄매트","가정",1,13538,7.39e-05
"A02",681,"거실화","패브릭욕실용품","가정",336,13538,0.024819028
"A02",682,"타월","패브릭욕실용품","가정",395,13538,0.029177131
"A02",683,"패브릭욕실매트","패브릭욕실용품","가정",210,13538,0.015511892
"A02",690,"발판","일반욕실용품","가정",87,13538,0.006426355
"A02",691,"변기커버","일반욕실용품","가정",285,13538,0.021051854
"A02",692,"샤워커튼","일반욕실용품","가정",79,13538,0.005835426
"A02",693,"샤워타월","일반욕실용품","가정",813,13538,0.060053184
"A02",694,"욕실소품","일반욕실용품","가정",709,13538,0.052371104
"A02",695,"욕실화","일반욕실용품","가정",872,13538,0.064411287
"A02",697,"메탈호스","수도용품","가정",139,13538,0.010267395
"A02",698,"샤워헤드","수도용품","가정",333,13538,0.024597429
"A02",699,"수전","수도용품","가정",209,13538,0.015438026
"A02",684,"다용도매트","매트","가정",22,13538,0.001625055
"A02",685,"베란다/놀이방매트","매트","가정",64,13538,0.004727434
"A02",686,"싱크매트","매트","가정",75,13538,0.005539962
"A02",687,"온라인매트","매트","가정",1,13538,7.39e-05
"A02",696,"욕실수납용품","DIY욕실용품","가정",53,13538,0.003914906
"A02",700,"다이닝테이블","테이블","가정",2,13538,0.000147732
"A02",701,"책상","테이블","가정",3,13538,0.000221598
"A02",707,"제기세트","제기용품","가정",2,13538,0.000147732
"A02",708,"제기소품","제기용품","가정",2,13538,0.000147732
"A02",124,"거울","장식용품","가정",87,13538,0.006426355
"A02",84,"시계","장식용품","가정",187,13538,0.013812971
"A02",83,"액자","장식용품","가정",93,13538,0.006869552
"A02",1499,"장식소품","장식용품","가정",21,13538,0.001551189
"A02",702,"간이의자","의자","가정",51,13538,0.003767174
"A02",703,"좌식의자","의자","가정",19,13538,0.001403457
"A02",704,"책상의자","의자","가정",9,13538,0.000664795
"A02",709,"야외용의자","아웃도어퍼니처","가정",2,13538,0.000147732
"A02",710,"야외용테이블","아웃도어퍼니처","가정",3,13538,0.000221598
"A02",128,"DIY소가구","소가구","가정",5,13538,0.000369331
"A02",81,"선반","소가구","가정",83,13538,0.006130891
"A02",152,"수납소품","소가구","가정",26,13538,0.00192052
"A02",153,"키즈가구","소가구","가정",5,13538,0.000369331
"A02",123,"행거","소가구","가정",175,13538,0.012926577
"A02",705,"교자상","상","가정",17,13538,0.001255725
"A02",706,"다용도상","상","가정",77,13538,0.005687694
"A02",711,"벽지","벽지류","가정",12,13538,0.000886394
"A02",712,"시트지","벽지류","가정",227,13538,0.016767617
"A02",713,"시공가구","가구","가정",9,13538,0.000664795
"A02",714,"온라인종합가구","가구","가정",1,13538,7.39e-05
"A02",715,"인테리어샵","가구","가정",84,13538,0.006204757
"A02",716,"일반가구","가구","가정",108,13538,0.007977545
"A02",1280,"전통건강식품","홍인삼","식품",78,13538,0.00576156
"A02",1281,"홍삼농축액","홍인삼","식품",85,13538,0.006278623
"A02",1282,"홍삼즙","홍인삼","식품",104,13538,0.00768208
"A02",1283,"홍삼첨가식품","홍인삼","식품",151,13538,0.011153789
"A02",1271,"단일비타민","비타민","식품",169,13538,0.01248338
"A02",1272,"발포비타민","비타민","식품",69,13538,0.005096765
"A02",1273,"종합비타민","비타민","식품",155,13538,0.011449254
"A02",1275,"뼈건강","기능성건강","식품",40,13538,0.002954646
"A02",1276,"온라인기능성건강","기능성건강","식품",3,13538,0.000221598
"A02",1277,"프로바이틱스","기능성건강","식품",179,13538,0.013222042
"A02",1278,"헬스건강","기능성건강","식품",28,13538,0.002068252
"A02",1279,"혈행개선","기능성건강","식품",125,13538,0.009233269
"A02",1286,"건강기능성선물세트","건강선물세트","식품",29,13538,0.002142118
"A02",1287,"홍삼선물세트","건강선물세트","식품",174,13538,0.012852711
"A02",1044,"한차","한방차","식품",240,13538,0.017727877
"A02",1045,"허브","한방차","식품",51,13538,0.003767174
"A02",1421,"간편한방식재","한방식재류","식품",284,13538,0.020977988
"A02",1415,"한방식재","한방식재류","식품",835,13538,0.061678239
"A02",924,"거봉포도","포도","과일",930,13538,0.068695524
"A02",925,"델라웨어포도","포도","과일",188,13538,0.013886837
"A02",926,"머루포도","포도","과일",481,13538,0.03552962
"A02",927,"캠벨포도","포도","과일",833,13538,0.061530507
"A02",919,"PB토마토","토마토","과일",61,13538,0.004505835
"A02",920,"방울토마토","토마토","과일",2496,13538,0.184369922
"A02",921,"완숙토마토","토마토","과일",967,13538,0.071428571
"A02",922,"찰토마토","토마토","과일",396,13538,0.029250997
"A02",929,"참외","참외","과일",1935,13538,0.142931009
"A02",916,"대석자두","자두","과일",914,13538,0.067513665
"A02",918,"포모사","자두","과일",195,13538,0.0144039
"A02",930,"PB수박","수박","과일",280,13538,0.020682523
"A02",932,"씨없는수박","수박","과일",190,13538,0.014034569
"A02",933,"유명산지수박","수박","과일",622,13538,0.045944748
"A02",934,"일반수박","수박","과일",1681,13538,0.124169006
"A02",935,"컬러수박","수박","과일",8,13538,0.000590929
"A02",913,"부드러운복숭아","복숭아","과일",1177,13538,0.086940464
"A02",914,"아삭한복숭아","복숭아","과일",432,13538,0.031910179
"A02",915,"천도복숭아","복숭아","과일",751,13538,0.055473482
"A02",938,"PB메론","메론","과일",102,13538,0.007534348
"A02",939,"머스크메론","메론","과일",621,13538,0.045870882
"A02",936,"딸기","딸기","과일",3016,13538,0.222780322
"A02",937,"산딸기","딸기","과일",103,13538,0.007608214
"A02",901,"PB감귤","감귤","과일",410,13538,0.030285123
"A02",903,"노지감귤","감귤","과일",1702,13538,0.125720195
"A02",904,"레드향","감귤","과일",264,13538,0.019500665
"A02",905,"천혜향","감귤","과일",384,13538,0.028364603
"A02",906,"하우스감귤","감귤","과일",1304,13538,0.096321466
"A02",907,"한라봉","감귤","과일",532,13538,0.039296794
"A02",908,"황금향","감귤","과일",154,13538,0.011375388
"A02",909,"단감","감","과일",1043,13538,0.077042399
"A02",910,"대봉시","감","과일",143,13538,0.01056286
"A02",911,"홍시","감","과일",452,13538,0.033387502
"A02",1007,"미국 체리","체리","과일",1841,13538,0.13598759
"A02",1010,"미국적포도","수입포도","과일",148,13538,0.010932191
"A02",1011,"미국청포도","수입포도","과일",373,13538,0.027552076
"A02",1012,"미국혼합포도","수입포도","과일",194,13538,0.014330034
"A02",1014,"칠레적포도","수입포도","과일",538,13538,0.039739991
"A02",1015,"칠레청포도","수입포도","과일",1278,13538,0.094400945
"A02",1016,"칠레혼합포도","수입포도","과일",445,13538,0.032870439
"A02",1018,"페루적포도","수입포도","과일",20,13538,0.001477323
"A02",1019,"페루청포도","수입포도","과일",22,13538,0.001625055
"A02",1006,"칠레블루베리","블루베리","과일",749,13538,0.05532575
"A02",1020,"곶감","냉동과일","과일",427,13538,0.031540848
"A02",1021,"곶감세트","냉동과일","과일",79,13538,0.005835426
"A02",1023,"냉동블루베리","냉동과일","과일",660,13538,0.048751662
"A02",1024,"냉동열대과일","냉동과일","과일",436,13538,0.032205643
"A02",1025,"냉동채소","냉동과일","과일",75,13538,0.005539962
"A02",990,"필리핀파인애플","파인애플","과일",1255,13538,0.092702024
"A02",995,"국산골드키위","키위","과일",421,13538,0.031097651
"A02",996,"국산그린키위","키위","과일",186,13538,0.013739105
"A02",998,"뉴질랜드골드키위","키위","과일",875,13538,0.064632885
"A02",999,"뉴질랜드그린키위","키위","과일",462,13538,0.034126163
"A02",1000,"이탈리아골드키위","키위","과일",27,13538,0.001994386
"A02",1001,"이탈리아그린키위","키위","과일",39,13538,0.00288078
"A02",1002,"칠레골드키위","키위","과일",93,13538,0.006869552
"A02",1003,"칠레그린키위","키위","과일",35,13538,0.002585315
"A02",1004,"열대과일선물세트","열대과일선물세트","과일",17,13538,0.001255725
"A02",980,"망고스틴","열대과일기타","과일",99,13538,0.007312749
"A02",982,"아보카도","열대과일기타","과일",391,13538,0.028881666
"A02",983,"야자","열대과일기타","과일",156,13538,0.01152312
"A02",984,"용과","열대과일기타","과일",247,13538,0.01824494
"A02",985,"허니듀메론","열대과일기타","과일",50,13538,0.003693308
"A02",986,"PB바나나","바나나","과일",1794,13538,0.132515881
"A02",987,"고당도바나나","바나나","과일",2374,13538,0.175358251
"A02",989,"일반바나나","바나나","과일",2999,13538,0.221524597
"A02",992,"대만애플망고","망고","과일",261,13538,0.019279066
"A02",993,"태국망고","망고","과일",463,13538,0.03420003
"A02",994,"필리핀망고","망고","과일",464,13538,0.034273896
"A02",972,"남아공자몽","자몽","과일",394,13538,0.029103265
"A02",973,"미국자몽","자몽","과일",365,13538,0.026961146
"A02",974,"이스라엘자몽","자몽","과일",474,13538,0.035012557
"A02",966,"오렌지과일선물세트","오렌지과일선물세트","과일",7,13538,0.000517063
"A02",975,"간편과일","오렌지과일기타","과일",1109,13538,0.081917565
"A02",968,"남아공오렌지","오렌지","과일",23,13538,0.001698922
"A02",969,"미국고당도오렌지","오렌지","과일",947,13538,0.069951248
"A02",970,"미국일반오렌지","오렌지","과일",1195,13538,0.088270055
"A02",971,"칠레오렌지","오렌지","과일",17,13538,0.001255725
"A02",977,"미국석류","석류","과일",330,13538,0.024375831
"A02",978,"북미레몬","레몬","과일",588,13538,0.043433299
"A02",979,"칠레레몬","레몬","과일",449,13538,0.033165903
"A02",941,"PB사과","사과","과일",436,13538,0.032205643
"A02",942,"부사","사과","과일",1414,13538,0.104446743
"A02",944,"아오리사과","사과","과일",458,13538,0.033830699
"A02",945,"햇사과","사과","과일",684,13538,0.05052445
"A02",947,"신고","배","과일",748,13538,0.055251884
"A02",948,"햇배","배","과일",169,13538,0.01248338
"A02",964,"생율","밤","과일",173,13538,0.012778845
"A02",965,"피밤","밤","과일",627,13538,0.046314079
"A02",956,"국산체리","구색과일","과일",17,13538,0.001255725
"A02",957,"매실","구색과일","과일",16,13538,0.001181858
"A02",958,"모과","구색과일","과일",23,13538,0.001698922
"A02",959,"무화과","구색과일","과일",211,13538,0.015585759
"A02",960,"살구","구색과일","과일",127,13538,0.009381002
"A02",961,"쇼케이스과일","구색과일","과일",73,13538,0.005392229
"A02",962,"유자","구색과일","과일",25,13538,0.001846654
"A02",963,"친환경구색과일","구색과일","과일",1723,13538,0.127271384
"A02",1288,"유기농과자","프리미엄과자","과자",56,13538,0.004136505
"A02",1289,"프리미엄비스켓","프리미엄과자","과자",898,13538,0.066331807
"A02",1290,"프리미엄스낵","프리미엄과자","과자",141,13538,0.010415128
"A02",1291,"프리미엄초콜릿","프리미엄과자","과자",229,13538,0.016915349
"A02",1292,"프리미엄캔디","프리미엄과자","과자",276,13538,0.020387059
"A02",1293,"프리미엄파이","프리미엄과자","과자",268,13538,0.019796129
"A02",1560,"온라인 파이","파이","과자",3,13538,0.000221598
"A02",1438,"케이크","파이","과자",1524,13538,0.11257202
"A02",1437,"파이","파이","과자",2150,13538,0.158812232
"A02",1440,"소프트캔디","캔디","과자",2396,13538,0.176983306
"A02",1561,"온라인 캔디","캔디","과자",2,13538,0.000147732
"A02",52,"젤리","캔디","과자",1341,13538,0.099054513
"A02",1439,"하드캔디","캔디","과자",1506,13538,0.111242429
"A02",1180,"국산초콜릿","초콜릿","과자",2382,13538,0.17594918
"A02",1181,"초콜릿바","초콜릿","과자",1832,13538,0.135322795
"A02",1305,"캐릭터과자","종합과자","과자",214,13538,0.015807357
"A02",136,"옛날과자","전통과자","과자",203,13538,0.014994829
"A02",1306,"온라인전통과자","전통과자","과자",2,13538,0.000147732
"A02",1307,"팥빙수재료","전통과자","과자",118,13538,0.008716206
"A02",1308,"한과","전통과자","과자",839,13538,0.061973704
"A02",1309,"화과자","전통과자","과자",93,13538,0.006869552
"A02",1431,"감자스낵","스낵","과자",4367,13538,0.322573497
"A02",1434,"쌀스낵","스낵","과자",1668,13538,0.123208746
"A02",1558,"온라인 스낵","스낵","과자",17,13538,0.001255725
"A02",1433,"일반스낵","스낵","과자",5172,13538,0.382035751
"A02",1432,"콘스낵","스낵","과자",3936,13538,0.290737184
"A02",1297,"수입껌","수입과자","과자",14,13538,0.001034126
"A02",1298,"수입비스켓","수입과자","과자",1688,13538,0.124686069
"A02",1299,"수입스낵","수입과자","과자",1339,13538,0.098906781
"A02",1300,"수입초콜릿","수입과자","과자",2408,13538,0.1778697
"A02",1301,"수입캔디","수입과자","과자",2515,13538,0.185773379
"A02",1302,"수입파이","수입과자","과자",92,13538,0.006795686
