"BIZ_UNIT","PD_S_C","PD_S_NM","PD_M_NM","PD_H_NM","cnt.x","cnt.y","percent"
"A04",381,"면도기","면도용품","생필품",8,5720,0.001398601
"A04",382,"면도날","면도용품","생필품",5,5720,0.000874126
"A04",384,"쉐이빙폼","면도용품","생필품",9,5720,0.001573427
"A04",383,"일회용면도기","면도용품","생필품",93,5720,0.016258741
"A04",375,"린스","샴푸/린스","생필품",8,5720,0.001398601
"A04",374,"샴푸","샴푸/린스","생필품",20,5720,0.003496503
"A04",385,"일반선물세트","선물세트","생필품",11,5720,0.001923077
"A04",380,"소용량상품","여행용상품","생필품",29,5720,0.00506993
"A04",379,"여행용상품","여행용상품","생필품",48,5720,0.008391608
"A04",367,"액상치약","치약","생필품",159,5720,0.027797203
"A04",368,"어린이용","치약","생필품",3,5720,0.000524476
"A04",366,"일반치약","치약","생필품",106,5720,0.018531469
"A04",373,"칫솔치약세트","치약칫솔세트","생필품",216,5720,0.037762238
"A04",370,"미세모","칫솔","생필품",109,5720,0.019055944
"A04",371,"어린이용칫솔","칫솔","생필품",5,5720,0.000874126
"A04",369,"일반모","칫솔","생필품",39,5720,0.006818182
"A04",372,"치실/치간칫솔","칫솔","생필품",50,5720,0.008741259
"A04",376,"고형비누","화장비누/바디클렌저","생필품",20,5720,0.003496503
"A04",378,"바디클렌저","화장비누/바디클렌저","생필품",12,5720,0.002097902
"A04",377,"액체비누","화장비누/바디클렌저","생필품",18,5720,0.003146853
"A04",202,"면","가공면류","가공식품",12,5720,0.002097902
"A04",189,"죽","가공미반류","가공식품",104,5720,0.018181818
"A04",188,"즉석덮밥","가공미반류","가공식품",18,5720,0.003146853
"A04",187,"즉석밥","가공미반류","가공식품",304,5720,0.053146853
"A04",190,"즉석컵밥","가공미반류","가공식품",77,5720,0.013461538
"A04",195,"국","국／스프","가공식품",55,5720,0.009615385
"A04",196,"스프","국／스프","가공식품",34,5720,0.005944056
"A04",191,"덮밥 소스류","레토르트","가공식품",58,5720,0.01013986
"A04",192,"레토르트 간식","레토르트","가공식품",34,5720,0.005944056
"A04",193,"레토르트 면","레토르트","가공식품",38,5720,0.006643357
"A04",199,"농산캔","캔","가공식품",43,5720,0.007517483
"A04",198,"수산캔","캔","가공식품",24,5720,0.004195804
"A04",200,"육가공캔","캔","가공식품",42,5720,0.007342657
"A04",197,"참치캔","캔","가공식품",107,5720,0.018706294
"A04",409,"다이소균일가상품","다이소 균일가","생필품",3,5720,0.000524476
"A04",391,"방향제","방향제","생필품",4,5720,0.000699301
"A04",392,"탈취제","방향제","생필품",46,5720,0.008041958
"A04",390,"기피제","살충제","생필품",1,5720,0.000174825
"A04",387,"매트/훈증기","살충제","생필품",6,5720,0.001048951
"A04",388,"모기향","살충제","생필품",6,5720,0.001048951
"A04",389,"방충제","살충제","생필품",13,5720,0.002272727
"A04",386,"에어졸","살충제","생필품",18,5720,0.003146853
"A04",396,"섬유유연제","세제류","생필품",11,5720,0.001923077
"A04",393,"세탁세제","세제류","생필품",20,5720,0.003496503
"A04",394,"주방세제","세제류","생필품",17,5720,0.002972028
"A04",395,"청소세제","세제류","생필품",18,5720,0.003146853
"A04",397,"표백제","세제류","생필품",3,5720,0.000524476
"A04",400,"랩/호일","주방용품","생필품",23,5720,0.004020979
"A04",398,"수세미/행주류","주방용품","생필품",15,5720,0.002622378
"A04",399,"조리기구/소모품","주방용품","생필품",43,5720,0.007517483
"A04",407,"장갑류","청소/작업용품","생필품",17,5720,0.002972028
"A04",406,"테이프류","청소/작업용품","생필품",29,5720,0.00506993
"A04",405,"목욕타올","타올/욕실용품","생필품",23,5720,0.004020979
"A04",24,"냉장피자","냉장피자","간식",102,5720,0.017832168
"A04",22,"조리샐러드","샐러드","간식",43,5720,0.007517483
"A04",23,"조리면","조리면","간식",19,5720,0.003321678
"A04",157,"씨리얼","간편영양식품","간식",38,5720,0.006643357
"A04",155,"영양바","간편영양식품","간식",7,5720,0.001223776
"A04",156,"영양식품(비타민)","간편영양식품","간식",17,5720,0.002972028
"A04",158,"환자식","간편영양식품","간식",4,5720,0.000699301
"A04",150,"스틱껌","껌","간식",336,5720,0.058741259
"A04",154,"어린이껌","껌","간식",9,5720,0.001573427
"A04",152,"용기껌","껌","간식",126,5720,0.022027972
"A04",151,"케이스껌","껌","간식",492,5720,0.086013986
"A04",153,"풍선껌","껌","간식",337,5720,0.058916084
"A04",127,"스틱과자","비스킷류","간식",406,5720,0.070979021
"A04",129,"알뜰절약상품","비스킷류","간식",64,5720,0.011188811
"A04",125,"쿠키","비스킷류","간식",902,5720,0.157692308
"A04",124,"크래커","비스킷류","간식",821,5720,0.143531469
"A04",126,"파이","비스킷류","간식",641,5720,0.112062937
"A04",131,"감자스낵","스낵류","간식",1484,5720,0.259440559
"A04",136,"알뜰절약상품","스낵류","간식",50,5720,0.008741259
"A04",133,"옥수수스낵","스낵류","간식",1326,5720,0.231818182
"A04",132,"일반스낵","스낵류","간식",1347,5720,0.23548951
"A04",134,"전통스낵","스낵류","간식",354,5720,0.061888112
"A04",145,"바쵸코렛","쵸코렛","간식",690,5720,0.120629371
"A04",147,"볼쵸코렛","쵸코렛","간식",493,5720,0.086188811
"A04",146,"봉지쵸코렛","쵸코렛","간식",111,5720,0.019405594
"A04",149,"어린이초코렛","쵸코렛","간식",334,5720,0.058391608
"A04",144,"판쵸코렛","쵸코렛","간식",672,5720,0.117482517
"A04",138,"과일향캔디","캔디류","간식",444,5720,0.077622378
"A04",137,"기능성캔디","캔디류","간식",397,5720,0.069405594
"A04",139,"봉지캔디","캔디류","간식",256,5720,0.044755245
"A04",140,"카라멜/젤리","캔디류","간식",854,5720,0.149300699
"A04",143,"타블렛캔디","캔디류","간식",107,5720,0.018706294
"A04",141,"토이캔디","캔디류","간식",85,5720,0.01486014
"A04",321,"냉동육류","냉동기타","가공식품",68,5720,0.011888112
"A04",316,"봉지만두","냉동만두","가공식품",65,5720,0.011363636
"A04",317,"트레이만두","냉동만두","가공식품",81,5720,0.014160839
"A04",320,"냉동간식류","냉동면밥류","가공식품",29,5720,0.00506993
"A04",318,"냉동면","냉동면밥류","가공식품",18,5720,0.003146853
"A04",319,"냉동밥","냉동면밥류","가공식품",31,5720,0.00541958
"A04",92,"일반란","(구)1차식품","가공식품",65,5720,0.011363636
"A04",93,"과일","(구)과일야채","가공식품",1,5720,0.000174825
"A04",91,"가정간편식","냉장식품","가공식품",91,5720,0.015909091
"A04",87,"냉장면","냉장식품","가공식품",230,5720,0.04020979
"A04",88,"냉장죽","냉장식품","가공식품",17,5720,0.002972028
"A04",89,"삶은계란","냉장식품","가공식품",506,5720,0.088461538
"A04",81,"김치","반찬","가공식품",351,5720,0.061363636
"A04",82,"맛살","반찬","가공식품",149,5720,0.026048951
"A04",84,"어묵","반찬","가공식품",133,5720,0.023251748
"A04",83,"젓갈","반찬","가공식품",2,5720,0.00034965
"A04",85,"조림반찬","반찬","가공식품",1,5720,0.000174825
"A04",75,"소시지","육가공","가공식품",722,5720,0.126223776
"A04",77,"소형바","육가공","가공식품",441,5720,0.077097902
"A04",79,"족발","육가공","가공식품",40,5720,0.006993007
"A04",78,"치킨","육가공","가공식품",39,5720,0.006818182
"A04",76,"햄","육가공","가공식품",16,5720,0.002797203
"A04",29,"떡","떡","간식",10,5720,0.001748252
"A04",31,"직납떡","떡","간식",26,5720,0.004545455
"A04",32,"떠먹는젤리","젤리","간식",160,5720,0.027972028
"A04",34,"마시는젤리","젤리","간식",61,5720,0.010664336
"A04",33,"푸딩","젤리","간식",50,5720,0.008741259
"A04",26,"일반케익","케익","간식",19,5720,0.003321678
"A04",27,"조각케익","케익","간식",11,5720,0.001923077
"A04",28,"프리미엄케익","케익","간식",28,5720,0.004895105
"A04",241,"병맥주(대)","병맥주","음주",214,5720,0.037412587
"A04",239,"병맥주(소)","병맥주","음주",75,5720,0.013111888
"A04",240,"병맥주(중)","병맥주","음주",161,5720,0.028146853
"A04",246,"생맥주500ML","생맥주","음주",4,5720,0.000699301
"A04",244,"수입맥주(병)","수입맥주","음주",51,5720,0.008916084
"A04",245,"수입맥주(캔)","수입맥주","음주",812,5720,0.141958042
"A04",242,"캔맥주(소)","캔맥주","음주",540,5720,0.094405594
"A04",243,"캔맥주(중)","캔맥주","음주",558,5720,0.097552448
